"cfo_change_in_working_capital","0.001","0.064","0.166","-0.436","-2.675","2.193","-0.296","-0.493","-1.699","0.091","-0.886","-2.767","-5.462","-2.643","-13.61","-133.762","235.408","-92.988","14.176"
"cfo_deferred_tax","","","","","","","","","","","","","","","","-9.201000000000001","20.244","-42.055","-38.478"
"cfo_stock_comp","","","","0.13","0.04","","0.33","0.15","0.9","1.27","1.58","2.57","4.57","4.83","6.34","36.48","20.67","21.23","19.29"
"cfo_other_noncash_items","-0.001","0.209","0.99","0.696","0.7","3.031","-0.07000000000000001","-0.07099999999999999","0.0040000000000004","0.0009999999999997799","-0.0059999999999998","","0.381","-12.017","0.53","4.696","17.225","25.004","27.419"
"cf_cfo","-0.008","-1.179","-2.551","-4.84","-9.638999999999999","-14.223","-2.809","-2.151","-2.919","-0.755","-2.363","-8.417999999999999","-11.646","1.034","3.395","-96.586","108.182","141.218","289.698"
"cfi_ppe_net","","-0.054","-0.08799999999999999","-0.151","-0.05","-0.023","-0.079","-0.006","-0.012","-0.01","-0.023","-0.05","-0.11","-0.078","-0.574","-3.15","-8.263999999999999","-17.433","-19.705"
"cfi_acquisitions_net","","","","","","","","","","","","","","-14.188","","","","",""
"cfi_investment_net","","","","","","","","","","","","","","","","","","",""
"cfi_intangibles_net","","","","","","","","","","","","","","","","","","",""
"cfi_other","","","","","","6.9388939039072E-18","","","","","","","","","1.331","1.886","2.592","3.233",""
"cf_cfi","","-0.054","-0.08799999999999999","-0.151","-0.05","-0.023","-0.079","-0.006","-0.012","-0.01","-0.023","-0.05","-0.11","-14.266","0.757","-1.264","-5.672","-14.2","-19.705"
"cff_common_stock_net","0.002","0.2","2.283","0.799","0.079","13.145","-0.001","","","11.388","4","10","","26.955","21.892","67.76900000000001","","",""
"cff_pfd_net","","","","3.5","2","","","","","","","","","","","","542.018","",""
"cff_debt_net","","0.966","-0.122","0.475","7.177","1.815","2.867","2.269","3.059","-0.843","","","5","1.474","-9.882","-0.094","-0.063","-0.044","-0.048"
"cff_dividend_paid","","","","","","","","","","","","","","","","","-11.526","-27.462","-27.518"
"cff_other","0.016","0.059","0.706","1","-0.0009999999999994499","1.7763568394003E-15","","","","","0.0049999999999999","0.947","0.301","0.224","3.561","3.72","3.6829999999999","2.285","2.774"
"cf_cff","0.018","1.225","2.867","5.774","9.255000000000001","14.96","2.866","2.269","3.059","10.545","4.005","10.947","5.301","28.653","15.571","71.395","534.112","-25.221","-24.792"
"ebitda","-0.008","-0.491","-2.491","-4.888","-7.399","-18.748","-2.521","-1.38","-1.493","-1.794","-2.828","-8.06","-10.569","-0.555","9.441000000000001","-2.826","-155.884","269.592","308.549"
"capex","","-0.054","-0.08799999999999999","-0.151","-0.05","-0.023","-0.079","-0.006","-0.012","-0.01","-0.023","-0.05","-0.11","-0.078","-0.574","-3.15","-8.263999999999999","-17.433","-19.705"
