"cash_and_equiv_growth","","","-0.03","5.32","-0.4","0.74","0.21","0.24","5.42","-0.35","-0.02","-0.35","0.06","0.25","-0.71","0.42","-0.11","6.01","-0.96","0.49",""
"ppe_growth","","","0.08","0.11","0.04","","-0.03","0.02","6.57","0.1","-0.04","-0.11","-0.22","0.09","-0.41","1.03","-0.01","-0.53","-0.03","0.1",""
"total_assets_growth","","-0.01","0.14","0.12","0.02","0.1","0.02","0.07000000000000001","4.65","0.07000000000000001","0.09","-0.07000000000000001","-0.06","0.06","-0.01","0.12","","0.16","-0.5","0.06",""
"total_equity_growth","","-1.08","1.78","7.99","2.15","0.3","","-0.13","10.39","0.27","0.22","-0.03","-0.05","0.2","-0.07000000000000001","","0.03","0.3","-0.26","-0.01",""
"cfo_growth","","","-1.24","5.29","-1.44","2.17","0.6","-0.08","2.04","1.08","0.07000000000000001","-0.21","-0.19","-0.11","0.03","-0.42","1.31","0.18","-1.16","3.42",""
"capex_growth","","","-1.72","-0.34","-0.38","0.42","-0.15","-0.09","-5.11","0.14","-0.18","0.17","0.2","0.15","0.27","-2.38","0.11","0.08","-0.06","0.13",""
"fcf_growth","","","-1.39","3.22","-1.85","1.54","0.77","-0.12","1.09","2.2","0.04","-0.22","-0.18","-0.1","0.12","-0.93","13.76","0.32","-1.61","1.29",""
"shares_eop","7.295","7.295","7.295","13.731","14.669","14.41","14.471","14.566","31.356","33.974","41.244","41.162","40.927","41.082","39.092","39.353","39.499","52.083","54.229","54.597","54.85"
"dividends","","","","","","","","","","","","","","","","","","","","",""
"price_to_earnings","","","","","-459.08","12.54","28.26","156.64","-33.79","20.83","9.33","9.85","19.74","18.53","10.02","-4.67","60.95","57.47","-218.35","-91.95999999999999","-41.81"
"price_to_book","","","","","1.57","1.38","2.12","3.77","1.01","1.36","1.09","0.51","0.82","0.75","0.4","0.71","0.72","0.88","0.84","0.89","1.03"
"price_to_sales","","","","","0.43","0.57","0.85","1.03","0.5600000000000001","0.88","0.79","0.48","0.79","1.45","0.64","0.74","2.32","2.89","1.86","1.79","1.88"
"price_to_tangible_book","","","","","-21.64","7.2","29.12","-12.61","-3.02","-7.43","-6.48","-2.97","-14.54","16.32","1.04","-1.72","-1.87","2.62","8.16","13.16","-6.69"
"price_to_fcf","","","","","-5.08","10.69","9.25","16.39","23.96","12.8","12.14","7.07","13.24","16.35","7.34","184.76","13.21","15.91","-18.3","67.45999999999999","-91.73999999999999"
"market_cap","","","","","262.13503","298.40228","458.209744","713.4863779999999","2176.075044","3721.579908","3658.177824","1653.06592","2529.165819","2799.450726","1405.201032","2462.356563","2597.84923","4117.942395","2902.33608","3058.52394","3424.758"
"period_end_price","","","","","17.87","20.71","31.66","48.98","69.40000000000001","109.54","88.7","40.16","61.8","68.14","35.95","62.57","65.77","79.06999999999999","53.52","56.02","56.02"
